Size of Array         Run Time T(n)        Run Time T(n^2)         Run Time T(n)/n         Run Time T(n^3)
10       0.13642882500425912       0.018612824292042758      0.013642882500425913       0.0025393257481741245
25       0.0731366449908819       0.0053489688405222915      0.0029254657996352763       0.00039120563515656807
50       0.0738092900137417       0.005447811292332631      0.0014761858002748341       0.0004020990836159161
75       0.06942811899352819       0.00482026370697951      0.0009257082532470425       0.00033466184222835866
100       0.07210543399560265       0.00519919361169421      0.0007210543399560265       0.00037489011179837585
500       0.07524277002085       0.005661474440410524      0.0001504855400417       0.0004259850192987295
300       0.07641168200643733       0.005838745147052899      0.0002547056066881244       0.0004461483374932353
800       0.0723230819858145       0.005230628187926845      9.040385248226812e-05       0.00037829515127274553
1000       0.07253330701496452       0.0052610806265271015      7.253330701496452e-05       0.00038160357631437215
3000       0.08027870798832737       0.006444670956275137      2.6759569329442456e-05       0.0005173698577796663
5000       0.07643776398617774       0.005842731763206611      1.528755279723555e-05       0.0004466053515505311
8000       0.0725587579945568       0.00526477336171266      9.0698447493196e-06       0.00038200541624869815
10000       0.0722106659959536       0.00521438028357917      7.221066599595361e-06       0.0003765338730334213
20000       0.07202973199309781       0.0051882822909974985      3.6014865996548907e-06       0.00037371058292508534
30000       0.07224866599426605       0.005219869737951016      2.408288866475535e-06       0.0003771286252308
40000       0.07669677201192826       0.005882394837049702      1.9174193002982066e-06       0.0004511606957013449
50000       0.07536778500070795       0.005680303015912939      1.507355700014159e-06       0.00042811185644219934
